ID,Name,equipId,value,mtrlId,eventFlag_forStock,eventFlag_forRelease,sellQuantity,pad3,equipType,costType,pad1,setNum,value_Add,value_Magnification,iconId,nameMsgId,menuTitleMsgId,menuIconId,pad2,
32500,Destined Death,85001,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32501,Night-and-Flame Stance,85004,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,1019,-1,-1,[0|0]
32502,Angel's Wings,85002,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32503,Great Oracular Bubble,85003,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32504,Taker's Flames,85005,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32505,Transient Moonlight,85006,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32506,Bloodboon Ritual,85007,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32507,Cursed-Blood Slice,85008,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32508,Death Flare,85010,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32509,Dynast's Finesse,85011,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32510,Eochaid's Dancing Blade,85012,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32511,Flame Dance,85013,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32512,Ice Lightning Sword,85014,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32513,Knowledge Above All,85015,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32514,Magma Guillotine,85016,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32515,Nebula,85017,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32516,Shriek of Milos,85018,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32517,Siluria's Woe,85019,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32518,Wave of Gold,85020,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32519,Waterfowl Dance,85021,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32520,Frenzyflame Thrust,85022,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32521,Ordovis's Vortex,85023,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32522,Corpse Piler,85024,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32523,Storm Kick,85025,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32524,Bloodblade Dance,85026,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32525,Bloodhound's Finesse,85027,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32526,The Queen's Black Flame,85028,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32527,Thundercloud Form,85029,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32528,Ruinous Ghostflame,85030,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
32530,Gravity Bolt,85032,0,-1,0,0,-1,0,4,0,0,1,1,1,-1,-1,-1,-1,[0|0]
