ID,Name,equipId,value,mtrlId,eventFlag_forStock,eventFlag_forRelease,sellQuantity,pad3,equipType,costType,pad1,setNum,value_Add,value_Magnification,iconId,nameMsgId,menuTitleMsgId,menuIconId,pad2,
1,,240,100,-1,0,0,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30000,Furlcalling Finger Remedy - Default,150,0,300000,0,0,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30100,Fire Pot - Default,300,0,301000,0,0,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30101,Redmane Fire Pot - Armorer's Cookbook [4],301,0,301010,0,67260,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30102,Giantsflame Fire Pot - Armorer's Cookbook [7],302,0,301020,0,67250,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30103,Lightning Pot - Ancient Dragon Apostle's Cookbook [2],320,0,301030,0,68010,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30104,Ancient Dragonbolt Pot - Ancient Dragon Apostle's Cookbook [4],321,0,301040,0,68020,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30105,Fetid Pot - Nomadic Warrior's Cookbook [4],330,0,301050,0,67800,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30106,Swarm Pot - Nomadic Warrior's Cookbook [24],340,0,301060,0,67910,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30107,Holy Water Pot - Missionary's Cookbook [1],350,0,301070,0,67610,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30108,Sacred Order Pot - Missionary's Cookbook [5],351,0,301080,0,67630,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30109,Freezing Pot - Glintstone Craftsman's Cookbook [6],360,0,301090,0,67460,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30110,Poison Pot - Nomadic Warrior's Cookbook [14],370,0,301100,0,67870,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30111,Oil Pot - Nomadic Warrior's Cookbook [17],380,0,301110,0,67100,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
